"Date"	"Open"
518	638.57
519	673.28
520	644.99
521	657.74
522	675.78
523	734.6
524	741.13
525	737.56
526	706.99
527	710.51
528	702.79
529	700.69
530	677.51
531	677.77
532	674.03
533	678.68
534	672.71
535	661.25
536	638.67
537	654.56
538	635.41
539	630.45
540	618.49
541	638.47
542	623.98
543	633.64
544	621.36
545	615.11
546	595
547	587.11
548	585.09
549	586.25
550	583.38
551	569.97
552	567
553	571.73
554	570.4
555	564
556	561
557	556.34
558	547
559	539.27
560	526.52
561	526.53
562	523.2
563	524.06
564	520.53
565	516.99
566	521.28
567	517.86
568	529.36
569	523.4
570	515.02
571	513.1
572	512.36
573	507.84
574	511.53
575	514.43
576	512.61
577	516
578	509.96
579	498.94
580	502.46
581	497.44
582	492.02
583	509
584	515.72
585	519.54
586	510.18
587	520.8
588	519.34
589	509.75
590	503
591	510.05
592	513.72
593	510.5
594	520.23
595	512.92
596	508.53
597	508.74
598	516.98
599	509.3
600	519.01
601	511.9
602	553.46
603	553.89
604	555.04
605	550.3
606	547.91
607	545.86
608	543.61
609	543.79
610	543
611	541.25
612	535.56
613	531.06
614	525.49
615	526.02
616	524.88
617	525
618	532.73
619	528.98
620	516.42
621	510.98
622	516.96
623	514.01
624	506.18
625	508.19
626	505.38
627	507.09
628	508.71
629	514.02
630	516.2
631	519.75
632	516.75
633	509.75
634	497.91
635	501
636	500.56
637	484.5
638	485
639	479.7
640	475.15
641	480.82
642	473
643	469.53
644	472.03
645	472.46
646	462
647	461.96
648	465.48
649	461.83
650	467.04
651	466.15
652	466.13
653	472.14
654	470.12
655	466.22
656	468.65
657	472.19
658	479.15
659	480.07
660	478.1
661	480
662	478.61
663	480.1
664	490.52
665	474.5
666	471.26
667	473.8
668	468.46
669	468.45
670	464
671	466.06
672	467.09
673	472.98
674	471.3
675	472.14
676	464.05
677	457.76
678	462.1
679	464.55
680	461.87
681	463.55
682	460.55
683	461.45
684	455.61
685	445.3
686	445.79
687	443.25
688	445.65
689	447.86
690	443.23
691	450.11
692	452.57
693	458
694	459.22
695	462.69
696	447.47
697	437.02
698	445.11
699	442.67
700	450.41
701	455
702	472.83
703	475.75
704	478.69
705	469.84
706	468.47
707	462.8
708	466
709	460
710	459.15
711	460.68
712	471.65
713	468.05
714	473.82
715	468.1
716	477.5
717	482.61
718	506
719	496.49
720	494
721	498
722	490.93
723	501
724	484.45
725	480.79
726	492.5
727	487.98
728	494.52
729	503.39
730	507.55
731	501.99
732	497.2
733	484.43
734	485.45
735	487.69
736	482.5
737	469
738	466
739	462.1
740	467.12
741	460
742	456.52
743	457.5
744	464.18
745	470
746	461.72
747	482.51
748	482.64
749	480.25
750	484.69
751	483.85
752	484.92
753	481.94
754	490.23
755	486.96
756	487.4
757	483
758	485.98
759	484.19
760	494.24
761	481.13
762	501.37
763	504.5
764	510.97
765	496.54
766	498.4
767	493.25
768	495
769	493.43
770	480.7
771	474.9
772	473.78
773	476.5
774	470.35
775	476.95
776	473.77
777	472.23
778	467.5
779	478.76
780	478.06
781	474.82
782	483.9
783	487.68
784	477.49
785	476.28
786	462.28
787	458.99
788	420.23
789	422.99
790	420.3
791	427.7
792	427.76
793	428.56
794	425.02
795	431.56
796	424.8
797	410.22
798	414.7
799	404.97
800	401.29
801	401.9
802	405.13
803	404.08
804	406.3
805	405.5
806	405.58
807	404.98
808	400.3
809	407.1
810	415.46
811	410
812	407.48
813	404.3
814	395.15
815	385
816	378.26
817	376.72
818	379.39
819	382.1
820	379.87
821	380.99
822	381.49
823	379.21
824	380.78
825	375.61
826	373.08
827	374.44
828	377.64
829	377.73
830	378.1
831	386.31
832	386.39
833	383.48
834	374.11
835	371.5
836	374.4
837	373.88
838	382.8
839	382.82
840	371.5
841	379.56
842	364.98
843	375.6
844	385.11
845	388
846	382
847	387.37
848	388.2
849	385.02
850	392.82
851	386.14
852	404.28
853	395.01
854	409.75
855	404.63
856	410.33
857	414
858	422.09
859	418.51
860	423.44
861	426.05
862	423.38
863	421.52
864	420.04
865	415.6
866	407.99
867	404.01
868	405.71
869	406.75
870	402.76
871	401.58
872	391.06
873	388.03
874	390.85
875	389.1
876	386.62
877	389.83
878	380.9
879	388.34
880	392.19
881	387.75
882	393.24
883	376.58
884	376.18
885	386.84
886	373.54
887	373.8
888	378.28
889	384.55
890	379.08
891	377.35
892	374.21
893	367.85
894	373.28
895	378.78
896	370.61
897	375.99
898	375.93
899	383.54
900	403.42
901	408.31
902	395.7
903	395.11
904	397.6
905	395.03
906	396.35
907	401.08
908	418.47
909	418.63
910	422.91
911	427.74
912	439.63
913	439.4
914	448.9
915	411.01
916	412.57
917	407.93
918	403.45
919	408.63
920	409
921	416.42
922	407.08
923	412.41
924	406.49
925	408.2
926	389.9
927	389.53
928	388.74
929	389.19
930	379.94
931	371.71
932	367.09
933	368.62
934	342.35
935	339.75
936	350.01
937	342.34
938	338.8
939	348.61
940	350.77
941	337.14
942	340.93
943	343.5
944	355.39
945	353.93
946	365.02
947	380.91
948	384.3
949	364.28
950	368.56
951	393.2
952	381.27
953	377.3
954	365.61
955	367.15
956	366.44
957	369.86
958	345.67
959	341.27
960	345.33
961	346.64
962	361.95
963	371.2
964	368.48
965	382.99
966	385.31
967	393.62
968	403.82
969	389.03
970	430.57
971	429.23
972	435
973	439.54
974	451.26
975	436.03
976	407.38
977	438.7
978	451.17
979	447.3
980	463.06
981	464.31
982	473.72
983	471.27
984	464.42
985	466.41
986	456.87
987	446
988	443.9
989	422.52
990	417.27
991	427.98
992	424.34
993	431.86
994	432.15
995	431.77
996	433.55
997	427.86
998	432.2
999	425.34
1000	419.11
1001	417.04
1002	412.5
1003	414.63
1004	415
1005	405.3
1006	406.16
1007	408.7
1008	417
1009	416.94
1010	409.2
1011	404.26
1012	424.46
1013	429.82
1014	425.78
1015	417.04
1016	408.65
1017	399.17
1018	403.49
1019	401.8
1020	396.2
1021	394.38
1022	392.12
1023	395.12
1024	378.36
1025	386.67
1026	394.25
1027	395.1
1028	389.98
1029	382.41
1030	381.7
1031	371.86
1032	360.24
1033	355.27
1034	356.6
1035	346.28
1036	345.78
1037	343.37
1038	345.8
1039	309.99
1040	304
1041	304.96
1042	297.5
1043	299.9
1044	302
1045	305.2
1046	310.61
1047	313.31
1048	314.79
1049	314.14
1050	312.69
1051	319.95
1052	313.63
1053	314.22
1054	306.68
1055	314.22
1056	314.95
1057	319.5
1058	313
1059	311.5
1060	308.41
1061	306.15
1062	301
